permutation;execution_tree;approx_time;actual_time
[6 5 4 3 1 0 2];(((lineorderX(supplier𝜎s_region∊['ASIA']))X(customer𝜎c_region∊['ASIA']))X((date𝜎d_year≤1997)𝜎d_year≥1992));8.57870013269156;0.7150759696960449
[4 6 1 0 5 3 2];((((lineorderX(supplier𝜎s_region∊['ASIA']))Xcustomer)𝜎c_region∊['ASIA'])X((date𝜎d_year≤1997)𝜎d_year≥1992));8.59019986802445;1.2937750816345215
[1 6 2 4 3 0 5];(((((lineorderXsupplier)X(date𝜎d_year≤1997))𝜎s_region∊['ASIA'])X(customer𝜎c_region∊['ASIA']))𝜎d_year≥1992);8.579716486791202;6.141685485839844
[6 0 3 5 4 1 2];((((lineorderXcustomer)𝜎c_region∊['ASIA'])X(supplier𝜎s_region∊['ASIA']))X((date𝜎d_year≤1997)𝜎d_year≥1992));8.591242617007563;2.7104969024658203
[1 5 2 3 0 4 6];(((((lineorderXsupplier)X(date𝜎d_year≥1992))X(customer𝜎c_region∊['ASIA']))𝜎s_region∊['ASIA'])𝜎d_year≤1997);8.580053132446183;6.742875337600708
[3 0 2 4 6 5 1];(((((lineorderX(customer𝜎c_region∊['ASIA']))Xdate)𝜎d_year≤1997)𝜎d_year≥1992)X(supplier𝜎s_region∊['ASIA']));8.581459887767597;1.3886258602142334
[0 3 4 5 1 6 2];((((lineorderXcustomer)𝜎c_region∊['ASIA'])X(supplier𝜎s_region∊['ASIA']))X((date𝜎d_year≥1992)𝜎d_year≤1997));8.591242617007563;2.6272530555725098
[4 3 2 6 5 1 0];(((((lineorderXdate)𝜎d_year≤1997)𝜎d_year≥1992)X(supplier𝜎s_region∊['ASIA']))X(customer𝜎c_region∊['ASIA']));8.579390025192163;3.954347848892212
[2 0 1 4 6 3 5];(((((((lineorderXdate)Xcustomer)Xsupplier)𝜎s_region∊['ASIA'])𝜎d_year≤1997)𝜎c_region∊['ASIA'])𝜎d_year≥1992);8.59264053001421;12.085722208023071
[4 3 2 0 6 1 5];(((((lineorderXdate)X(customer𝜎c_region∊['ASIA']))𝜎d_year≤1997)X(supplier𝜎s_region∊['ASIA']))𝜎d_year≥1992);8.580236843411852;2.720857858657837
