permutation;execution_tree;actual_time;actual_mem_peak
[2 6 5 3 4 1 0];(((((lineorderXpart)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])Xdate)X(supplier𝜎s_region∊['AMERICA']))X(customer𝜎c_region∊['AMERICA']));4.688215970993042;3473481588
[5 3 2 6 0 1 4];((((((lineorderXdate)Xpart)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])Xcustomer)X(supplier𝜎s_region∊['AMERICA']))𝜎c_region∊['AMERICA']);9.446781635284424;5969545815
[1 6 5 0 2 4 3];((((((lineorderXsupplier)𝜎s_region∊['AMERICA'])Xcustomer)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))𝜎c_region∊['AMERICA'])Xdate);3.229463577270508;3281441753
[2 0 4 1 3 6 5];(((((((lineorderXpart)Xcustomer)𝜎c_region∊['AMERICA'])Xsupplier)Xdate)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])𝜎s_region∊['AMERICA']);9.002654075622559;4707331479
[0 1 4 6 2 3 5];((((((lineorderXcustomer)Xsupplier)𝜎c_region∊['AMERICA'])X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))Xdate)𝜎s_region∊['AMERICA']);7.289233684539795;4479764079
[0 5 4 3 1 2 6];((((((lineorderXcustomer)𝜎c_region∊['AMERICA'])Xdate)X(supplier𝜎s_region∊['AMERICA']))Xpart)𝜎p_mfgr∊['MFGR#1', 'MFGR#2']);3.3304553031921387;3377460460
[0 5 2 4 1 6 3];((((((lineorderXcustomer)Xpart)𝜎c_region∊['AMERICA'])X(supplier𝜎s_region∊['AMERICA']))𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])Xdate);7.460891485214233;4671713479
[3 5 0 6 1 4 2];(((((lineorderXdate)Xcustomer)X(supplier𝜎s_region∊['AMERICA']))𝜎c_region∊['AMERICA'])X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']));6.369743824005127;5873525977
[3 1 0 4 5 6 2];((((((lineorderXdate)Xsupplier)Xcustomer)𝜎c_region∊['AMERICA'])𝜎s_region∊['AMERICA'])X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']));12.79284119606018;6881698588
[0 1 5 3 2 6 4];(((((((lineorderXcustomer)Xsupplier)𝜎s_region∊['AMERICA'])Xdate)Xpart)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])𝜎c_region∊['AMERICA']);8.506514310836792;4479760895
[2 5 3 1 0 6 4];((((((lineorderXpart)Xdate)X(supplier𝜎s_region∊['AMERICA']))Xcustomer)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])𝜎c_region∊['AMERICA']);8.401750564575195;5571417693
[4 0 1 2 3 6 5];((((((lineorderX(customer𝜎c_region∊['AMERICA']))Xsupplier)Xpart)Xdate)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])𝜎s_region∊['AMERICA']);2.783113956451416;1536549708
[2 0 3 5 4 6 1];((((((lineorderXpart)Xcustomer)Xdate)𝜎c_region∊['AMERICA'])𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])X(supplier𝜎s_region∊['AMERICA']));13.754164457321167;6721811170
[1 6 5 0 3 2 4];((((((lineorderXsupplier)𝜎s_region∊['AMERICA'])Xcustomer)Xdate)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))𝜎c_region∊['AMERICA']);3.929140329360962;3281442337
[5 2 3 4 1 0 6];(((((lineorderXpart)Xdate)X(supplier𝜎s_region∊['AMERICA']))X(customer𝜎c_region∊['AMERICA']))𝜎p_mfgr∊['MFGR#1', 'MFGR#2']);7.455636262893677;5571417001
[3 1 5 4 2 6 0];((((((lineorderXdate)Xsupplier)𝜎s_region∊['AMERICA'])Xpart)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])X(customer𝜎c_region∊['AMERICA']));7.6579225063323975;5777594071
[4 6 1 5 3 2 0];(((((lineorderXsupplier)𝜎s_region∊['AMERICA'])Xdate)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))X(customer𝜎c_region∊['AMERICA']));3.216610908508301;3271958368
[3 4 5 0 2 6 1];(((((lineorderXdate)X(customer𝜎c_region∊['AMERICA']))Xpart)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])X(supplier𝜎s_region∊['AMERICA']));3.533682346343994;4241634512
[4 5 2 1 0 3 6];(((((lineorderXpart)X(supplier𝜎s_region∊['AMERICA']))X(customer𝜎c_region∊['AMERICA']))Xdate)𝜎p_mfgr∊['MFGR#1', 'MFGR#2']);3.2436764240264893;3471907374
[6 0 1 5 4 2 3];((((((lineorderXcustomer)Xsupplier)𝜎s_region∊['AMERICA'])𝜎c_region∊['AMERICA'])X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))Xdate);6.79256272315979;4471764757
[1 2 4 0 3 5 6];((((((lineorderXsupplier)Xpart)X(customer𝜎c_region∊['AMERICA']))Xdate)𝜎s_region∊['AMERICA'])𝜎p_mfgr∊['MFGR#1', 'MFGR#2']);7.988460302352905;4529580057
[4 5 1 2 0 6 3];(((((lineorderX(supplier𝜎s_region∊['AMERICA']))Xpart)X(customer𝜎c_region∊['AMERICA']))𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])Xdate);1.1604619026184082;1294212628
[0 1 3 2 6 4 5];(((((((lineorderXcustomer)Xsupplier)Xdate)Xpart)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])𝜎c_region∊['AMERICA'])𝜎s_region∊['AMERICA']);21.44411540031433;8128024863
